src,dst,length_m,way_id
3377907753,3377907759,71.8,43396612
3377907753,2912193891,77.0,43396612
2912193891,3377907753,77.0,43396612
299421728,2912193887,12.7,43396625
2912193887,3377971606,84.9,43396625
3377971606,3378014380,99.0,43396625
3378014380,546801137,67.2,43396625
546801137,2912193851,11.8,43396625
2912193851,2912193838,213.1,43396625
2912193838,546801154,12.6,43396625
546801345,4389165034,35.3,43396627
4389165034,546801384,6.0,43396627
546801384,3378014373,17.2,43396627
3378014373,2912193916,2.4,43396627
2912193916,6278389710,25.7,43396627
6278389710,1993090764,26.2,43396627
1993090764,6278389711,26.1,43396627
6278389711,2912193918,24.2,43396627
2912193918,546801400,33.5,43396627
546801400,6278389713,22.7,43396627
6278389713,1993090783,23.0,43396627
1993090783,6278389715,26.9,43396627
6278389715,1993090818,30.7,43396627
1993090818,2912193936,16.6,43396627
2912193936,7955020855,16.0,43396627
7955020855,546801422,3.9,43396627
546801422,12279161460,137.4,43396627
12279161460,12279161456,9.9,43396627
12279161456,546801481,91.7,43396627
546801481,2912193969,12.8,43396627
2912193976,2912193973,75.4,43396633
2912193973,2912193970,40.4,43396633
2912193970,2912193969,50.8,43396633
2912193969,2912193968,13.5,43396633
2912193968,2912193966,78.2,43396633
2912193966,546801699,74.4,43396633
546801699,2912193967,11.8,43396633
546801422,2912193939,14.3,43396643
2912193939,11875988149,184.5,43396643
299421729,2912193952,12.5,43396645
2912193952,3377971639,71.8,43396645
3377971639,299422376,134.5,43396645
299422376,2912193950,13.5,43396645
546801918,12252549311,93.0,43396651
12252549311,546801918,93.0,43396651
12252549311,546802042,202.9,43396651
546802042,12252549311,202.9,43396651
546802042,3377601231,98.8,43396651
3377601231,546802042,98.8,43396651
3377601231,546802071,108.1,43396651
546802071,3377601231,108.1,43396651
546802071,546802099,132.6,43396651
546802099,546802071,132.6,43396651
546802099,3377596621,47.4,43396651
3377596621,546802099,47.4,43396651
3377596621,1993090092,3.1,43396651
1993090092,3377596621,3.1,43396651
1993090092,3377596619,120.3,43396651
3377596619,1993090092,120.3,43396651
3377596619,3377596616,24.6,43396651
3377596616,3377596619,24.6,43396651
3377596616,546802118,68.9,43396651
546802118,3377596616,68.9,43396651
546802118,1993090260,83.9,43396651
1993090260,546802118,83.9,43396651
1993089975,546801932,25.3,43396653
546801932,3377596394,47.5,43396653
3377596394,1993090008,6.3,43396653
1993090008,546802290,110.6,43396653
546802290,12258335823,38.4,43396653
12258335823,12953413512,50.6,43396653
12953413512,12258335829,6.1,43396653
12258335829,12953413514,9.8,43396653
12953413514,12258335820,47.4,43396653
12258335820,3377596471,54.7,43396653
3377596471,546802315,1.3,43396653
546802315,3377596613,58.1,43396653
3377596613,3377596611,53.0,43396653
3377596611,3352889699,55.1,43396653
3352889699,546802332,16.0,43396653
546802332,546802347,218.1,43396653
546802347,2912193883,101.6,43396653
2912193883,1993090494,32.3,43396653
3376141241,546803107,19.2,43396661
546803107,3376141240,52.2,43396661
3376141240,7340607619,24.3,43396661
546803173,3376142097,14.0,43396664
3376142097,3377485113,76.7,43396664
3377485113,3376141269,94.8,43396664
3376141269,3376141274,15.3,43396664
3376141274,546803291,155.2,43396664
546803291,546803046,123.1,43396664
546803046,3376142111,12.4,43396664
3337526658,3377485128,260.3,43396670
3377485128,3376141274,64.6,43396670
3376141274,3376141273,13.7,43396670
3337526653,3377485131,59.3,43396674
3377485131,3337526653,59.3,43396674
3377485131,3377485137,56.3,43396674
3377485137,3377485131,56.3,43396674
3377485137,3377485129,145.5,43396674
3377485129,3377485137,145.5,43396674
3377485129,546803291,62.5,43396674
546803291,3377485129,62.5,43396674
3376141249,3377476882,61.0,43396712
3377476882,3377476884,55.2,43396712
3377476884,12277138772,83.2,43396712
12277138772,3377476877,92.2,43396712
3377476877,546803865,30.0,43396712
546803865,3377463694,31.1,43396712
3377463694,3377463704,13.8,43396712
3377463704,3376141248,97.8,43396712
3376141248,3377477223,16.0,43396712
3377477223,546803842,64.4,43396712
546803842,12277138760,29.3,43396712
12277138760,12277138763,44.6,43396712
12277138763,3376143718,21.7,43396712
3376143718,3376143719,14.5,43396712
3376143719,12277138759,65.0,43396712
12277138759,3377477214,35.9,43396712
3377477214,3377477208,56.2,43396712
3377477208,12277138754,193.7,43396712
12277138754,3377463708,37.6,43396712
3377463708,3377463711,17.1,43396712
3377463711,3377477261,128.3,43396712
3377477261,12277138728,82.4,43396712
12277138728,3377477266,35.1,43396712
3377477266,3377477265,26.6,43396712
3377477265,3377463712,43.4,43396712
3377463712,3377463715,14.5,43396712
3377463715,12277138720,46.5,43396712
12277138720,546803785,172.4,43396712
546803785,3377463716,25.8,43396712
3377463716,3377463719,15.0,43396712
3377463719,3337526661,22.1,43396712
3337526661,3377477307,38.6,43396712
3377477307,3337526660,17.6,43396712
3337526660,3377477293,56.0,43396712
3377477293,546803767,14.7,43396712
546803767,3376141250,77.2,43396712
3376141250,3376255999,16.5,43396712
3376255999,3376141252,11.0,43396712
3376141252,3376141251,22.7,43396712
973472756,3337526643,14.7,83587776
3337526643,1513010686,14.7,83587776
1513010686,2912193751,14.8,83587776
2912193751,973472941,14.8,83587776
973472941,3337526640,14.8,83587776
3337526640,546801881,14.8,83587776
546801881,1513010688,11.7,83587776
1513010688,990876594,11.7,83587776
990876594,990876600,11.7,83587776
