id,lat,lon
6448629745,26.5607447,37.9345247
6448629746,26.5608967,37.9344375
6448629747,26.5611227,37.9343547
6448629748,26.5616372,37.9341804
6448629749,26.5627206,37.9337839
6448629750,26.5630246,37.9336401
6448629751,26.5634923,37.93337
6448629752,26.56396,37.9330519
6448629753,26.5642017,37.9329041
12277138861,26.5647029,37.9325816
12277138863,26.5646474,37.9322624
12277138864,26.564275,37.9364991
12277138865,26.5639576,37.9361937
12277138866,26.5649525,37.9347884
12277138867,26.5645076,37.9350505
12277138868,26.5631725,37.9358471
12277138869,26.5633041,37.9361313
12277138870,26.5647301,37.9349179
12277138871,26.560723,37.9345435
12277138872,26.5606656,37.934041
12277138873,26.5595924,37.9334074
12277138876,26.5594492,37.9330956
12277138877,26.5587537,37.9330649
12277138879,26.5585733,37.9330238
12277138902,26.5589854,37.9343035
12277138903,26.5588152,37.9362953
12277138910,26.558894,37.9353774
12277138915,26.5585786,37.9343855
13188200111,26.5589811,37.9343545
13297036325,26.5605375,37.9344606
13297036326,26.5599185,37.9343748
13297036327,26.5598177,37.9343265
13297036328,26.5597409,37.9342568
13297036329,26.5597266,37.9341549
13297036330,26.5597457,37.9339778
13297036331,26.5597218,37.9337311
3376770976,26.5622944,37.9414155
3376770977,26.5618735,37.9416748
3376770978,26.5615471,37.9419533
3376770979,26.5612036,37.9423085
3376770980,26.5595287,37.9442099
3376770981,26.5591422,37.9447188
12285680994,26.563598,37.9445062
12285680995,26.5638715,37.9444928
12285680997,26.5618,37.9430446
12285680998,26.5627816,37.9440087
12285680999,26.5633388,37.9442762
12285681000,26.5635049,37.9441315
12285685401,26.5640717,37.9443072
12285685402,26.5636737,37.9441288
12285685404,26.5642761,37.9414251
12285685405,26.562382,37.942505
12285685408,26.5634992,37.9429587
12285685409,26.5628911,37.9440613
13188208137,26.5648865,37.9398805
546803084,26.5713498,37.9371318
546803107,26.5707842,37.9352888
546803605,26.5698891,37.9382559
3376141239,26.5711955,37.9364603
3376141240,26.5709903,37.93576
3376141241,26.5707367,37.9351032
3376141242,26.5708622,37.937867
3376141243,26.5703344,37.938028
3376141275,26.5714466,37.9377527
3376141276,26.5715653,37.9376637
3376141278,26.5714249,37.9376261
3376141279,26.571011,37.9376963
3376141280,26.5705781,37.9377979
3376141281,26.5702136,37.9379435
3376141282,26.5698784,37.9381181
3376141283,26.5691396,37.9386021
3376142101,26.5714652,37.9371287
3376142103,26.5711335,37.9358786
3376142104,26.5709071,37.935337
3376142105,26.5704757,37.9346562
3376142106,26.5701391,37.9343036
3376142107,26.5700252,37.9341107
3376142108,26.5696867,37.9334048
3376770971,26.5703154,37.9363004
3376770972,26.5690881,37.9373248
3376770973,26.5687532,37.9375841
3376770974,26.5682207,37.9379298
3377485139,26.5692915,37.9386466
3377485145,26.569755,37.9383436
3377493467,26.5667397,37.9387864
3377493712,26.5703499,37.9332419
3377493713,26.5705173,37.9330609
3377493714,26.5698017,37.9336373
3377493716,26.5693807,37.9327019
3377493718,26.5692824,37.9337125
3377493719,26.5698845,37.9351753
3377493720,26.5693412,37.9326263
3377493721,26.5688398,37.9327647
3377493722,26.5686479,37.9328354
3377493723,26.5682728,37.9330198
3377493724,26.5697471,37.9335308
3377493725,26.5692948,37.9337425
3377493726,26.5688496,37.9339672
3377493727,26.5687031,37.9340436
3377493728,26.568586,37.9340436
3377493729,26.568394,37.9339672
3377493730,26.5681922,37.9340582
3377493731,26.5679904,37.9341492
3377493732,26.566438,37.9351554
3377493733,26.5653815,37.9357065
3377493734,26.5660835,37.9353643
3377493735,26.5694386,37.9353608
3377493736,26.5695493,37.9354445
3377493737,26.5697185,37.9356483
3377493738,26.5684154,37.9335016
3377493739,26.5684623,37.9336725
3377493740,26.5684851,37.9339781
3377493765,26.5709859,37.9334998
3377493766,26.5713349,37.9329824
3377493769,26.5709362,37.9341327
3377493771,26.570782,37.934396
3377493772,26.5695237,37.9354252
3377493773,26.5699941,37.9350419
6437020061,26.5669893,37.9348149
6448629687,26.5708124,37.932649
6448629688,26.5681015,37.9322873
6448629693,26.5698634,37.9323538
6448629694,26.5706509,37.9324141
6448629695,26.5701058,37.9328886
7340607618,26.5712849,37.9364041
7340607619,26.5710583,37.9359921
12277138837,26.5681576,37.9326051
12277138838,26.5680976,37.9323656
12277138839,26.5690312,37.9331746
